ONSConstID,bfb_Seat,bfb_Con,bfb_Lab,bfb_LibDem,bfb_Green,bfb_BXP,bfb_Plaid,bfb_Other,bfb_Reco
E14000530,Aldershot,0.396090535,0.166666667,0.192386831,0.076131687,0.143004115,NA,0.025720165,Lib Dem
E14000531,Aldridge-Brownhills,0.482191781,0.17260274,0.11369863,0.045205479,0.152054795,NA,0.034246575,Lab
E14000532,Altrincham and Sale West,0.373175183,0.216240876,0.253649635,0.059306569,0.074817518,NA,0.022810219,Lib Dem
E14000533,Amber Valley,0.459770115,0.231034483,0.113793103,0.03908046,0.127586207,NA,0.028735632,Lab
E14000534,Arundel and South Downs,0.420245399,0.112474438,0.237218814,0.076687117,0.127811861,NA,0.025562372,Lib Dem
E14000535,Ashfield,0.345714286,0.24,0.093333333,0.083809524,0.213333333,NA,0.023809524,Lab
E14000536,Ashford,0.447368421,0.173913044,0.159038902,0.066361556,0.124713959,NA,0.028604119,Lab
E14000537,Ashton-under-Lyne,0.287344398,0.385892116,0.107883817,0.048755187,0.144190871,NA,0.02593361,Lab
E14000538,Aylesbury,0.395252838,0.174406605,0.208462332,0.069143447,0.126934985,NA,0.025799794,Lib Dem
E14000539,Banbury,0.43908046,0.211494253,0.157471264,0.059770115,0.103448276,NA,0.028735632,Lab
E14000540,Barking,0.201612903,0.442396313,0.119815668,0.051843318,0.155529954,NA,0.028801843,Lab
E14000541,Barnsley Central,0.224508887,0.34424696,0.10383536,0.065481759,0.238540692,NA,0.023386342,Lab
E14000542,Barnsley East,0.222405272,0.308896211,0.098023064,0.073311367,0.276771005,NA,0.020593081,Lab
E14000543,Barrow and Furness,0.351970669,0.302474794,0.125572869,0.037580202,0.159486709,NA,0.022914757,Lab
E14000544,Basildon and Billericay,0.426773455,0.180778032,0.138443936,0.052631579,0.172768879,NA,0.028604119,Lab
E14000545,Basingstoke,0.389865564,0.194415719,0.221302999,0.066184074,0.10237849,NA,0.025853154,Lib Dem
E14000546,Bassetlaw,0.336095764,0.275322284,0.132596685,0.039594843,0.193370166,NA,0.023020258,Lab
E14000547,Bath,0.272519954,0.108323831,0.460661346,0.078677309,0.051311288,NA,0.028506271,Lib Dem
E14000548,Batley and Spen,0.300324675,0.328733766,0.104707792,0.07224026,0.173701299,NA,0.020292208,Lab
E14000549,Battersea,0.310040161,0.254618474,0.311646586,0.065863454,0.037751004,NA,0.020080321,Lab
E14000551,Beckenham,0.428571429,0.164571429,0.237714286,0.048,0.100571429,NA,0.020571429,Lib Dem
E14000552,Bedford,0.343978102,0.302919708,0.148722628,0.064781022,0.116788321,NA,0.022810219,Lab
E14000553,Bermondsey and Old Southwark,0.187845304,0.347145488,0.330570902,0.064456722,0.046961326,NA,0.023020258,LibLab
E14000554,Berwick-upon-Tweed,0.364963504,0.148722628,0.260948905,0.057481752,0.145072993,NA,0.022810219,Lib Dem
E14000555,Bethnal Green and Bow,0.165497896,0.496493689,0.166900421,0.064516129,0.071528752,NA,0.035063114,Lab
E14000556,Beverley and Holderness,0.428407789,0.184421535,0.172966781,0.058419244,0.127147766,NA,0.028636884,Lab
E14000557,Bexhill and Battle,0.461363636,0.134090909,0.185227273,0.067045455,0.123863636,NA,0.028409091,Lib Dem
E14000558,Bexleyheath and Crayford,0.417184265,0.201863354,0.1563147,0.050724638,0.148033126,NA,0.025879917,Lab
E14000559,Birkenhead,0.175102599,0.50752394,0.095759234,0.058823529,0.128590971,NA,0.034199726,Lab
E14000560,"Birmingham, Edgbaston",0.275388838,0.337602928,0.15736505,0.081427264,0.125343092,NA,0.022872827,Lab
E14000561,"Birmingham, Erdington",0.298336798,0.384615385,0.096673597,0.062370062,0.132016632,NA,0.025987526,Lab
E14000562,"Birmingham, Hall Green",0.150891632,0.540466392,0.152263375,0.063100137,0.058984911,NA,0.034293553,Lab
E14000563,"Birmingham, Hodge Hill",0.150492264,0.565400844,0.073136428,0.05907173,0.11673699,NA,0.035161744,Lab
E14000564,"Birmingham, Ladywood",0.138964578,0.549046322,0.134877384,0.069482289,0.073569482,NA,0.034059946,Lab
E14000565,"Birmingham, Northfield",0.291628335,0.356945722,0.09475621,0.061637535,0.172033119,NA,0.02299908,Lab
E14000566,"Birmingham, Perry Barr",0.247410817,0.453394707,0.113924051,0.057537399,0.098964327,NA,0.0287687,Lab
E14000567,"Birmingham, Selly Oak",0.271794872,0.408205128,0.136410256,0.075897436,0.082051282,NA,0.025641026,Lab
E14000568,"Birmingham, Yardley",0.215176715,0.387733888,0.155925156,0.056133056,0.159043659,NA,0.025987526,Lab
E14000569,Bishop Auckland,0.353917051,0.280184332,0.139170507,0.041474654,0.162211982,NA,0.023041475,Lab
E14000570,Blackburn,0.247990815,0.458094145,0.104477612,0.045924225,0.114810563,NA,0.028702641,Lab
E14000571,Blackley and Broughton,0.209195402,0.464367816,0.11954023,0.055172414,0.122988506,NA,0.028735632,Lab
E14000572,Blackpool North and Cleveleys,0.360219982,0.271310724,0.109074244,0.056828598,0.179651696,NA,0.022914757,Lab
E14000573,Blackpool South,0.308539945,0.334251607,0.093663912,0.045913682,0.194674013,NA,0.022956841,Lab
E14000574,Blaydon,0.223472669,0.298231511,0.183279743,0.073954984,0.20096463,NA,0.020096463,Lab
E14000575,Blyth Valley,0.318327974,0.317524116,0.132636656,0.054662379,0.156752412,NA,0.020096463,Lab
E14000576,Bognor Regis and Littlehampton,0.417445483,0.151609554,0.167185878,0.063343718,0.174454829,NA,0.02596054,Lib Dem
E14000577,Bolsover,0.344413666,0.283471838,0.104339797,0.041551247,0.203139428,NA,0.023084026,Lab
E14000578,Bolton North East,0.343721357,0.315307058,0.133822182,0.043996334,0.140238314,NA,0.022914757,Lab
E14000579,Bolton South East,0.250517598,0.407867495,0.090062112,0.056935818,0.16873706,NA,0.025879917,Lab
E14000580,Bolton West,0.369385885,0.292392301,0.144821265,0.043996334,0.126489459,NA,0.022914757,Lab
E14000581,Bootle,0.131687243,0.55829904,0.091906722,0.054869685,0.128943759,NA,0.034293553,Lab
E14000582,Boston and Skegness,0.487569061,0.136740332,0.114640884,0.045580111,0.180939227,NA,0.034530387,Lab
E14000583,Bosworth,0.448118586,0.144811859,0.204104903,0.052451539,0.122006842,NA,0.028506271,Lib Dem
E14000584,Bournemouth East,0.392746114,0.207253886,0.189637306,0.07253886,0.111917098,NA,0.025906736,Lab
E14000585,Bournemouth West,0.365313653,0.21402214,0.164206642,0.07195572,0.161439114,NA,0.023062731,Lab
E14000586,Bracknell,0.425799087,0.170091324,0.194063927,0.054794521,0.126712329,NA,0.028538813,Lib Dem
E14000587,Bradford East,0.211583924,0.457446809,0.094562648,0.055555556,0.151300236,NA,0.029550827,Lab
E14000588,Bradford South,0.337650324,0.325624422,0.093432007,0.046253469,0.173913044,NA,0.023126735,Lab
E14000589,Bradford West,0.182359952,0.449344458,0.133492253,0.070321812,0.134684148,NA,0.029797378,Lab
E14000590,Braintree,0.479564033,0.156675749,0.141689373,0.053133515,0.134877384,NA,0.034059946,Lab
E14000591,Brent Central,0.173024523,0.479564033,0.171662125,0.054495913,0.08719346,NA,0.034059946,Lab
E14000592,Brent North,0.29025641,0.377435897,0.167179487,0.057435897,0.082051282,NA,0.025641026,Lab
E14000593,Brentford and Isleworth,0.308553158,0.32853717,0.208633094,0.04636291,0.087929656,NA,0.019984013,Lab
E14000594,Brentwood and Ongar,0.41315519,0.119218911,0.190133607,0.070914697,0.180883864,NA,0.025693731,Lib Dem
E14000595,Bridgwater and West Somerset,0.449258837,0.158494869,0.184720639,0.043329533,0.135689852,NA,0.028506271,Lib Dem
E14000596,Brigg and Goole,0.420889349,0.202688728,0.123061013,0.044467425,0.183040331,NA,0.025853154,Lab
E14000597,"Brighton, Kemptown",0.282984531,0.343949045,0.162875341,0.078252957,0.109190173,NA,0.022747953,Lab
E14000598,"Brighton, Pavilion",0.158730159,0.189342404,0.096371882,0.464852608,0.062358277,NA,0.028344671,Green
E14000599,Bristol East,0.28440367,0.369724771,0.177981651,0.067889908,0.07706422,NA,0.02293578,Lab
E14000600,Bristol North West,0.305666401,0.255387071,0.259377494,0.064644852,0.094972067,NA,0.019952115,Lab
E14000601,Bristol South,0.258986175,0.348387097,0.1640553,0.092165899,0.113364055,NA,0.023041475,Lab
E14000602,Bristol West,0.155109489,0.375912409,0.233576642,0.173357664,0.039233577,NA,0.022810219,Lab
E14000603,Broadland,0.431171786,0.160409556,0.216154721,0.053469852,0.110352674,NA,0.028441411,Lib Dem
E14000604,Bromley and Chislehurst,0.420512821,0.192820513,0.18974359,0.053333333,0.117948718,NA,0.025641026,Lab
E14000605,Bromsgrove,0.451136364,0.165909091,0.193181818,0.060227273,0.101136364,NA,0.028409091,Lib Dem
E14000606,Broxbourne,0.448512586,0.172768879,0.137299771,0.04805492,0.164759725,NA,0.028604119,Lab
E14000608,Buckingham,0.487465181,0.029247911,0.160167131,0.14902507,0.139275766,NA,0.034818942,Green
E14000609,Burnley,0.323529412,0.287581699,0.155228758,0.043300654,0.169934641,NA,0.020424837,Lab
E14000610,Burton,0.462857143,0.214857143,0.114285714,0.054857143,0.124571429,NA,0.028571429,Lab
E14000611,Bury North,0.344890511,0.327554745,0.126824818,0.057481752,0.120437956,NA,0.022810219,Lab
E14000612,Bury South,0.347349177,0.297074954,0.170018282,0.047531993,0.115173675,NA,0.02285192,Lab
E14000613,Bury St Edmunds,0.397540984,0.143442623,0.214139344,0.089139344,0.130122951,NA,0.025614754,Lib Dem
E14000614,Calder Valley,0.381592554,0.263702172,0.146845915,0.058945191,0.123061013,NA,0.025853154,Lab
E14000615,Camberwell and Peckham,0.154462243,0.465675057,0.223112128,0.068649886,0.059496568,NA,0.028604119,Lab
E14000616,Camborne and Redruth,0.344292237,0.247488585,0.189041096,0.04109589,0.155251142,NA,0.02283105,Lab
E14000617,Cambridge,0.157084189,0.299794661,0.383983573,0.073921971,0.059548255,NA,0.025667351,LibLab
E14000618,Cannock Chase,0.443807339,0.209862385,0.106651376,0.059633028,0.151376147,NA,0.028669725,Lab
E14000619,Canterbury,0.316626889,0.257756563,0.215592681,0.085123309,0.105011933,NA,0.019888624,Lab
E14000620,Carlisle,0.388659794,0.273195876,0.127835052,0.041237113,0.143298969,NA,0.025773196,Lab
E14000621,Carshalton and Wallington,0.316513762,0.117431193,0.377981651,0.049541284,0.11559633,NA,0.02293578,Lib Dem
E14000622,Castle Point,0.4,0.120618557,0.139175258,0.056701031,0.257731959,NA,0.025773196,Lib Dem
E14000623,Central Devon,0.417355372,0.155991736,0.231404959,0.05785124,0.111570248,NA,0.025826446,Lib Dem
E14000624,Central Suffolk and North Ipswich,0.405737705,0.154713115,0.220286885,0.06045082,0.133196721,NA,0.025614754,Lib Dem
E14000625,Charnwood,0.449026346,0.161512028,0.161512028,0.064146621,0.135166094,NA,0.028636884,Lab
E14000626,Chatham and Aylesford,0.397330596,0.196098563,0.116016427,0.069815195,0.195071869,NA,0.025667351,Lab
E14000627,Cheadle,0.361643836,0.124200913,0.353424658,0.068493151,0.069406393,NA,0.02283105,Lib Dem
E14000628,Chelmsford,0.365384615,0.149267399,0.28021978,0.06959707,0.112637363,NA,0.022893773,Lib Dem
E14000629,Chelsea and Fulham,0.378551787,0.175068744,0.302474794,0.062328139,0.058661778,NA,0.022914757,Lib Dem
E14000630,Cheltenham,0.365602472,0.08753862,0.401647786,0.051493306,0.067971164,NA,0.025746653,Lib Dem
E14000631,Chesham and Amersham,0.406345957,0.102354145,0.307062436,0.065506653,0.093142272,NA,0.025588536,Lib Dem
E14000632,Chesterfield,0.262903226,0.312903226,0.148387097,0.075,0.180645161,NA,0.02016129,Lab
E14000633,Chichester,0.425968109,0.117312073,0.222095672,0.096810934,0.109339408,NA,0.028473804,Lib Dem
E14000634,Chingford and Woodford Green,0.374199451,0.260750229,0.197621226,0.046660567,0.0978957,NA,0.022872827,Lab
E14000635,Chippenham,0.424829157,0.120728929,0.292710706,0.037585421,0.095671982,NA,0.028473804,Lib Dem
E14000636,Chipping Barnet,0.33151184,0.267759563,0.249544627,0.050091075,0.078324226,NA,0.02276867,Lab
E14000637,Chorley,0.322709163,0.306772908,0.105179283,0.089243028,0.156175299,NA,0.019920319,Lab
E14000638,Christchurch,0.463636364,0.101136364,0.235227273,0.048863636,0.122727273,NA,0.028409091,Lib Dem
E14000639,Cities of London and Westminster,0.358386801,0.222731439,0.270394134,0.076993584,0.048579285,NA,0.022914757,Lib Dem
E14000640,City of Chester,0.332120109,0.353958144,0.162875341,0.041856233,0.08644222,NA,0.022747953,Lab
E14000641,City of Durham,0.255985267,0.354511971,0.20626151,0.054327808,0.105893186,NA,0.023020258,Lab
E14000642,Clacton,0.407676349,0.139004149,0.126556017,0.064315353,0.236514523,NA,0.02593361,Lab
E14000643,Cleethorpes,0.410176532,0.190031153,0.134994808,0.056074766,0.182762202,NA,0.02596054,Lab
E14000644,Colchester,0.344007319,0.211344922,0.233302836,0.072278134,0.116193962,NA,0.022872827,Lib Dem
E14000645,Colne Valley,0.334246575,0.274885845,0.189041096,0.054794521,0.124200913,NA,0.02283105,Lab
E14000646,Congleton,0.423863636,0.190909091,0.182954546,0.052272727,0.121590909,NA,0.028409091,Lab
E14000647,Copeland,0.358974359,0.268315018,0.142857143,0.053113553,0.153846154,NA,0.022893773,Lab
E14000648,Corby,0.382626681,0.254395036,0.147880041,0.049638056,0.139607032,NA,0.025853154,Lab
E14000649,Coventry North East,0.258098224,0.398119122,0.104493208,0.073145246,0.140020899,NA,0.026123302,Lab
E14000650,Coventry North West,0.301380991,0.317627945,0.125913891,0.073923639,0.160844842,NA,0.020308692,Lab
E14000651,Coventry South,0.307834101,0.341935484,0.13640553,0.08202765,0.10875576,NA,0.023041475,Lab
E14000652,Crawley,0.323175622,0.24137931,0.209302326,0.046511628,0.159582999,NA,0.020048115,Lab
E14000653,Crewe and Nantwich,0.384140062,0.28115345,0.105046344,0.051493306,0.152420185,NA,0.025746653,Lab
E14000654,Croydon Central,0.337294333,0.309872029,0.146252285,0.063071298,0.120658135,NA,0.02285192,Lab
E14000655,Croydon North,0.203196347,0.46803653,0.156392694,0.061643836,0.082191781,NA,0.028538813,Lab
E14000656,Croydon South,0.42662116,0.189988623,0.201365188,0.075085324,0.078498294,NA,0.028441411,Lib Dem
E14000657,Dagenham and Rainham,0.325262308,0.328490718,0.085552865,0.043583535,0.196933011,NA,0.020177563,Lab
E14000658,Darlington,0.341284404,0.344954128,0.097247706,0.044036697,0.149541284,NA,0.02293578,Lab
E14000659,Dartford,0.403905447,0.184994861,0.16032888,0.055498458,0.169578623,NA,0.025693731,Lab
E14000660,Daventry,0.479564033,0.130790191,0.171662125,0.055858311,0.128065395,NA,0.034059946,Lib Dem
E14000661,Denton and Reddish,0.269694161,0.377201112,0.119555144,0.057460612,0.15291937,NA,0.023169601,Lab
E14000662,Derby North,0.349541284,0.272477064,0.166972477,0.046788991,0.141284404,NA,0.02293578,Lab
E14000663,Derby South,0.276437848,0.36270872,0.097402597,0.059369202,0.180890538,NA,0.023191095,Lab
E14000664,Derbyshire Dales,0.45,0.167045455,0.201136364,0.056818182,0.096590909,NA,0.028409091,Lib Dem
E14000665,Devizes,0.448747153,0.133257403,0.199316629,0.062642369,0.127562642,NA,0.028473804,Lib Dem
E14000666,Dewsbury,0.36271809,0.287419651,0.136822773,0.060606061,0.129476584,NA,0.022956841,Lab
E14000667,Don Valley,0.316045381,0.282820097,0.128849271,0.047001621,0.205024311,NA,0.020259319,Lib Dem
E14000668,Doncaster Central,0.29228243,0.330870279,0.102627258,0.052545156,0.201149425,NA,0.020525452,Lab
E14000669,Doncaster North,0.235018727,0.362359551,0.088951311,0.052434457,0.237827715,NA,0.02340824,Lab
E14000670,Dover,0.362637363,0.224358974,0.148351648,0.067765568,0.173992674,NA,0.022893773,Lab
E14000671,Dudley North,0.361860465,0.293023256,0.077209302,0.048372093,0.19627907,NA,0.023255814,Lab
E14000672,Dudley South,0.448791715,0.214039125,0.104718067,0.041426928,0.162255466,NA,0.0287687,Lab
E14000673,Dulwich and West Norwood,0.174406605,0.423116615,0.26625387,0.063983488,0.046439628,NA,0.025799794,Lab
E14000674,Ealing Central and Acton,0.30296827,0.386898669,0.19037871,0.044012283,0.050153531,NA,0.025588536,Lab
E14000675,Ealing North,0.260824742,0.398969072,0.16185567,0.06185567,0.090721649,NA,0.025773196,Lab
E14000676,"Ealing, Southall",0.217391304,0.43020595,0.16819222,0.067505721,0.088100687,NA,0.028604119,Lab
E14000677,Easington,0.22,0.395789474,0.102105263,0.045263158,0.210526316,NA,0.026315789,Lab
E14000679,East Ham,0.146776406,0.530864198,0.112482853,0.063100137,0.112482853,NA,0.034293553,Lab
E14000680,East Hampshire,0.456818182,0.1,0.232954546,0.077272727,0.104545455,NA,0.028409091,Lib Dem
E14000681,East Surrey,0.435280642,0.113402062,0.210767469,0.067583047,0.144329897,NA,0.028636884,Lib Dem
E14000682,East Worthing and Shoreham,0.382716049,0.233539095,0.1718107,0.057613169,0.128600823,NA,0.025720165,Lab
E14000683,East Yorkshire,0.409937888,0.169772257,0.17184265,0.062111801,0.160455487,NA,0.025879917,Lib Dem
E14000685,Eastleigh,0.379239466,0.115107914,0.30626927,0.05344296,0.12024666,NA,0.025693731,Lib Dem
E14000687,Edmonton,0.196990424,0.476060192,0.142270862,0.049247606,0.10123119,NA,0.034199726,Lab
E14000688,Ellesmere Port and Neston,0.302559415,0.368372943,0.108775137,0.053016453,0.144424132,NA,0.02285192,Lab
E14000689,Elmet and Rothwell,0.398348813,0.185758514,0.199174407,0.058823529,0.132094943,NA,0.025799794,Lib Dem
E14000690,Eltham,0.318108974,0.309294872,0.167467949,0.055288462,0.129807692,NA,0.020032051,Lab
E14000691,Enfield North,0.299897646,0.411463664,0.103377687,0.042988741,0.116683726,NA,0.025588536,Lab
E14000692,"Enfield, Southgate",0.321115538,0.296414343,0.207968128,0.074103586,0.080478088,NA,0.019920319,Lab
E14000693,Epping Forest,0.44977169,0.168949772,0.155251142,0.0456621,0.151826484,NA,0.028538813,Lab
E14000694,Epsom and Ewell,0.431972789,0.136054422,0.240362812,0.069160998,0.094104308,NA,0.028344671,Lib Dem
E14000695,Erewash,0.39089969,0.268872803,0.10237849,0.055842813,0.156153051,NA,0.025853154,Lab
E14000696,Erith and Thamesmead,0.288479263,0.362211982,0.118894009,0.044239631,0.163133641,NA,0.023041475,Lab
E14000697,Esher and Walton,0.37704918,0.093237705,0.346311475,0.052254098,0.105532787,NA,0.025614754,Lib Dem
E14000698,Exeter,0.2688,0.3304,0.2104,0.0728,0.0976,NA,0.02,Lab
E14000699,Fareham,0.455681818,0.127272727,0.209090909,0.055681818,0.123863636,NA,0.028409091,Lib Dem
E14000700,Faversham and Mid Kent,0.425968109,0.149202734,0.186788155,0.078587699,0.130979499,NA,0.028473804,Lib Dem
E14000701,Feltham and Heston,0.25847846,0.360219982,0.148487626,0.051329056,0.158570119,NA,0.022914757,Lab
E14000702,Filton and Bradley Stoke,0.373968836,0.211732356,0.230980752,0.06324473,0.09715857,NA,0.022914757,Lib Dem
E14000703,Finchley and Golders Green,0.36040146,0.250912409,0.261861314,0.053832117,0.050182482,NA,0.022810219,Lib Dem
E14000704,Folkestone and Hythe,0.392783505,0.162886598,0.169072165,0.07628866,0.173195876,NA,0.025773196,Lib Dem
E14000705,Forest of Dean,0.403707518,0.211122554,0.154479918,0.065911432,0.139031926,NA,0.025746653,Lab
E14000706,Fylde,0.404713115,0.193647541,0.167008197,0.054303279,0.154713115,NA,0.025614754,Lab
E14000707,Gainsborough,0.457240593,0.169897377,0.155074116,0.059293044,0.129988598,NA,0.028506271,Lab
E14000708,Garston and Halewood,0.160982265,0.51159618,0.130968622,0.04638472,0.115961801,NA,0.034106412,Lab
E14000709,Gateshead,0.225,0.4125,0.120833333,0.06875,0.146875,NA,0.026041667,Lab
E14000710,Gedling,0.359303391,0.285976169,0.163153071,0.054078827,0.114573786,NA,0.022914757,Lab
E14000711,Gillingham and Rainham,0.391124871,0.188854489,0.142414861,0.059855521,0.191950464,NA,0.025799794,Lab
E14000712,Gloucester,0.373616236,0.247232472,0.159594096,0.068265683,0.128228782,NA,0.023062731,Lab
E14000713,Gosport,0.46347032,0.156392694,0.127853881,0.058219178,0.165525114,NA,0.028538813,Lab
E14000714,Grantham and Stamford,0.453917051,0.149769585,0.152073733,0.046082949,0.169354839,NA,0.028801843,Lib Dem
E14000715,Gravesham,0.422520661,0.223140496,0.121900826,0.05268595,0.15392562,NA,0.025826446,Lab
E14000716,Great Grimsby,0.295993459,0.303352412,0.096484056,0.03843009,0.245298446,NA,0.020441537,Lab
E14000717,Great Yarmouth,0.399380805,0.21878225,0.107327141,0.059855521,0.188854489,NA,0.025799794,Lab
E14000718,Greenwich and Woolwich,0.24,0.414358974,0.188717949,0.073846154,0.057435897,NA,0.025641026,Lab
E14000719,Guildford,0.386270492,0.107581967,0.342213115,0.06454918,0.073770492,NA,0.025614754,Lib Dem
E14000720,Hackney North and Stoke Newington,0.139534884,0.476060192,0.220246238,0.0875513,0.042407661,NA,0.034199726,Lab
E14000721,Hackney South and Shoreditch,0.136986301,0.552054795,0.171232877,0.067123288,0.038356164,NA,0.034246575,Lab
E14000722,Halesowen and Rowley Regis,0.427234927,0.246361746,0.094594595,0.04989605,0.155925156,NA,0.025987526,Lab
E14000723,Halifax,0.322550832,0.346580407,0.117375231,0.038817006,0.151571165,NA,0.02310536,Lab
